id,keyword A,keyword C,exist_B,num_B,meaningful,keywords B
id1,politician,drug,FALSE,0,0,[]
id1,politician,mcconnell,FALSE,0,0,[]
id1,politician,pound,FALSE,0,0,[]
id1,politician,cocaine,FALSE,0,0,[]
id1,politician,senate,FALSE,0,0,[]
id1,politician,find,FALSE,0,0,[]
id1,politician,majority,FALSE,0,0,[]
id1,politician,anti,FALSE,0,0,[]
id1,politician,ship,FALSE,0,0,[]
id1,politician,cargo,FALSE,0,0,[]
id1,politician,leader,FALSE,0,0,[]
id1,politician,mitch,FALSE,0,0,[]
id1,drug,mcconnell,TRUE,46,1,"[('million', 6), ('senate', 6), ('elaine', 6), ('year', 6), ('mitch', 6), ('chao', 6), ('colombia', 6), ('china', 6), ('europe', 4), ('chinese', 4), ('united', 4), ('states', 4), ('dollar', 4), ('cocaine', 4), ('maritime', 2), ('foremost', 2), ('washington', 2), ('pound', 2), ('marta', 2), ('james', 2), ('santa', 2), ('republican', 2), ('august', 2), ('family', 2), ('schweizer', 2), ('peter', 2), ('corporation', 2), ('new', 1), ('month', 1), ('colombian', 1), ('ping', 1), ('nation', 1), ('york', 1), ('virginia', 1), ('netherlands', 1), ('joe', 1), ('second', 1), ('blankenship', 1), ('transportation', 1), ('west', 1), ('american', 1), ('manchin', 1), ('ago', 1), ('don', 1), ('liberia', 1), ('state', 1)]"
